stock_flow,balance_type,instrument,counterparty,series_type,series_id,start,end,n_obs,unit,data_type,frequency,collection_month,file_no
Amounts outstanding at end of period ,Liabilities,One name paper issued in Australia held by:,Total (Counterparty sectors),Original,A3424712W,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,One name paper issued in Australia held by:,Private non-financial investment funds,Original,A3544912K,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,One name paper issued in Australia held by:,Authorised deposit taking Institutions,Original,A3366346T,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,One name paper issued in Australia held by:,Other broad money Institutions,Original,A3367795T,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,One name paper issued in Australia held by:,Pension funds,Original,A3364819V,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,One name paper issued in Australia held by:,Life insurance corporations,Original,A3363229A,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,One name paper issued in Australia held by:,Non-life insurance corporations,Original,A3363742R,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,One name paper issued in Australia held by:,Money market financial investment funds,Original,A3373534J,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,One name paper issued in Australia held by:,Non-money market financial investment funds,Original,A3371908C,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,One name paper issued in Australia held by:,Central borrowing authorities,Original,A3544913L,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,One name paper issued in Australia held by:,Other financial corporations,Original,A3367798X,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,One name paper issued in Australia held by:,Rest of world,Original,A3367291L,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,One name paper issued offshore held by:,Total (Counterparty sectors),Original,A3424427K,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,One name paper issued offshore held by:,Rest of world,Original,A3363766J,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,"Bonds, etc. issued in Australia held by:",Total (Counterparty sectors),Original,A3429227J,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,"Bonds, etc. issued in Australia held by:",Private non-financial investment funds,Original,A3591642X,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,"Bonds, etc. issued in Australia held by:",Public non-financial corporations,Original,A83834518W,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,"Bonds, etc. issued in Australia held by:",Central bank,Original,A3372532K,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,"Bonds, etc. issued in Australia held by:",Authorised deposit taking Institutions,Original,A3359239C,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,"Bonds, etc. issued in Australia held by:",Other broad money Institutions,Original,A3362809C,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,"Bonds, etc. issued in Australia held by:",Pension funds,Original,A3365407T,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,"Bonds, etc. issued in Australia held by:",Life insurance corporations,Original,A3358735W,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,"Bonds, etc. issued in Australia held by:",Non-life insurance corporations,Original,A3362371W,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,"Bonds, etc. issued in Australia held by:",Money market financial investment funds,Original,A3363859V,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,"Bonds, etc. issued in Australia held by:",Non-money market financial investment funds,Original,A3359242T,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,"Bonds, etc. issued in Australia held by:",Central borrowing authorities,Original,A3362374C,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
